"ds" "trend" "additive_terms" "additive_terms_lower" "additive_terms_upper" "yearly" "yearly_lower" "yearly_upper" "multiplicative_terms" "multiplicative_terms_lower" "multiplicative_terms_upper" "yhat_lower" "yhat_upper" "trend_lower" "trend_upper" "yhat"
"1" 2000-01-01 97.3540569872313 -394.652353072228 -394.652353072228 -394.652353072228 -394.652353072228 -394.652353072228 -394.652353072228 0 0 0 -2967.31519942976 2226.84583589643 97.3540569872313 97.3540569872313 -297.298296084996
"2" 2000-02-01 105.183881404634 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 0 0 0 -2590.22166170608 2438.62938121925 105.183881404634 105.183881404634 -28.2592344533219
"3" 2000-02-01 105.183881404634 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 0 0 0 -2557.24264371111 2628.98781507836 105.183881404634 105.183881404634 -28.2592344533219
"4" 2000-02-01 105.183881404634 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 0 0 0 -2558.00713778592 2458.78811931023 105.183881404634 105.183881404634 -28.2592344533219
"5" 2000-02-01 105.183881404634 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 0 0 0 -2724.15210536766 2442.13219015779 105.183881404634 105.183881404634 -28.2592344533219
"6" 2000-02-01 105.183881404634 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 0 0 0 -2378.15961466326 2579.23049734585 105.183881404634 105.183881404634 -28.2592344533219
"7" 2000-02-01 105.183881404634 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 0 0 0 -2400.32508909887 2492.73459909442 105.183881404634 105.183881404634 -28.2592344533219
"8" 2000-02-01 105.183881404634 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 0 0 0 -2530.29597409028 2367.53653235252 105.183881404634 105.183881404634 -28.2592344533219
"9" 2000-02-01 105.183881404634 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 0 0 0 -2551.43571631723 2550.1327996616 105.183881404634 105.183881404634 -28.2592344533219
"10" 2000-02-01 105.183881404634 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 -133.443115857956 0 0 0 -2480.78849104462 2430.84024464301 105.183881404634 105.183881404634 -28.2592344533219
"11" 2000-03-01 112.508555859624 126.364390072992 126.364390072992 126.364390072992 126.364390072992 126.364390072992 126.364390072992 0 0 0 -2319.47823374347 2924.64837470534 112.508555859624 112.508555859624 238.872945932616
