"ds" "type" "y" "floor" "t" "y_scaled"
"58" 2000-06-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 362 0 0.0232273838630807 0.0272569836608689
"59" 2000-06-01 "Habeas Corpus" 26 0 0.0232273838630807 0.00195768390934418
"60" 2000-06-01 "Mandado de Seguran\xc3\xa7a" 3 0 0.0232273838630807 0.000225886604924328
"61" 2000-06-01 "Medida Cautelar Inominada" 1 0 0.0232273838630807 7.5295534974776e-05
"62" 2000-06-01 "Outros Feitos" 2 0 0.0232273838630807 0.000150591069949552
"63" 2000-06-01 "Outros Incidentes" 1 0 0.0232273838630807 7.5295534974776e-05
"64" 2000-06-01 "Processo Crime" 3 0 0.0232273838630807 0.000225886604924328
"65" 2000-06-01 "Recurso Crime" 2 0 0.0232273838630807 0.000150591069949552
"66" 2000-06-01 "Recurso de Of\xc3\xadcio" 1 0 0.0232273838630807 7.5295534974776e-05
"67" 2000-06-01 "Recurso em Sentido Estrito" 5 0 0.0232273838630807 0.00037647767487388
"68" 2000-06-01 "Reexame Necess\xc3\xa1rio" 16 0 0.0232273838630807 0.00120472855959642
"69" 2000-07-01 "Agravo" 5 0 0.0278117359413203 0.00037647767487388
"70" 2000-07-01 "Agravo Regimental" 1 0 0.0278117359413203 7.5295534974776e-05
"71" 2000-07-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 1 0 0.0278117359413203 7.5295534974776e-05
"72" 2000-07-01 "Apela\xc3\xa7\xc3\xa3o Crime" 46 0 0.0278117359413203 0.0034635946088397
"73" 2000-07-01 "Correi\xc3\xa7\xc3\xa3o Parcial" 1 0 0.0278117359413203 7.5295534974776e-05
"74" 2000-07-01 "Habeas Corpus" 43 0 0.0278117359413203 0.00323770800391537
"75" 2000-07-01 "Mandado de Seguran\xc3\xa7a" 1 0 0.0278117359413203 7.5295534974776e-05
"76" 2000-07-01 "Recurso de Of\xc3\xadcio" 1 0 0.0278117359413203 7.5295534974776e-05
"77" 2000-07-01 "Recurso em Sentido Estrito" 8 0 0.0278117359413203 0.000602364279798208
"78" 2000-08-01 "A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria" 2 0 0.0325488997555012 0.000150591069949552
"79" 2000-08-01 "Agravo" 70 0 0.0325488997555012 0.00527068744823432
"80" 2000-08-01 "Agravo de Instrumento" 934 0 0.0325488997555012 0.0703260296664408
"81" 2000-08-01 "Agravo em Execu\xc3\xa7\xc3\xa3o" 4 0 0.0325488997555012 0.000301182139899104
"82" 2000-08-01 "Agravo Interno" 25 0 0.0325488997555012 0.0018823883743694
"83" 2000-08-01 "Agravo Lei" 1 0 0.0325488997555012 7.5295534974776e-05
"84" 2000-08-01 "Agravo Regimental" 52 0 0.0325488997555012 0.00391536781868835
"85" 2000-08-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 2495 0 0.0325488997555012 0.187862359762066
"86" 2000-08-01 "Apela\xc3\xa7\xc3\xa3o Crime" 163 0 0.0325488997555012 0.0122731722008885
"87" 2000-08-01 "Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio" 308 0 0.0325488997555012 0.023191024772231
"88" 2000-08-01 "Conflito de Compet\xc3\xaancia" 5 0 0.0325488997555012 0.00037647767487388
"89" 2000-08-01 "Conflito de Jurisdi\xc3\xa7\xc3\xa3o" 3 0 0.0325488997555012 0.000225886604924328
"90" 2000-08-01 "Correi\xc3\xa7\xc3\xa3o Parcial" 2 0 0.0325488997555012 0.000150591069949552
"91" 2000-08-01 "Embargos de Declara\xc3\xa7\xc3\xa3o" 418 0 0.0325488997555012 0.0314735336194564
"92" 2000-08-01 "Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o" 1 0 0.0325488997555012 7.5295534974776e-05
"93" 2000-08-01 "Habeas Corpus" 105 0 0.0325488997555012 0.00790603117235148
"94" 2000-08-01 "Mandado de Seguran\xc3\xa7a" 11 0 0.0325488997555012 0.000828250884722536
"95" 2000-08-01 "Medida Cautelar" 1 0 0.0325488997555012 7.5295534974776e-05
"96" 2000-08-01 "Outros Feitos" 3 0 0.0325488997555012 0.000225886604924328
"97" 2000-08-01 "Outros Incidentes" 3 0 0.0325488997555012 0.000225886604924328
"98" 2000-08-01 "Processo Crime" 6 0 0.0325488997555012 0.000451773209848656
"99" 2000-08-01 "Queixa" 1 0 0.0325488997555012 7.5295534974776e-05
"100" 2000-08-01 "Recurso de Agravo" 1 0 0.0325488997555012 7.5295534974776e-05
"101" 2000-08-01 "Recurso de Of\xc3\xadcio" 1 0 0.0325488997555012 7.5295534974776e-05
"102" 2000-08-01 "Recurso em Sentido Estrito" 39 0 0.0325488997555012 0.00293652586401626
"103" 2000-08-01 "Reexame Necess\xc3\xa1rio" 89 0 0.0325488997555012 0.00670130261275506
"104" 2000-09-01 "A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria" 1 0 0.0372860635696821 7.5295534974776e-05
"105" 2000-09-01 "Agravo" 100 0 0.0372860635696821 0.0075295534974776
"106" 2000-09-01 "Agravo de Instrumento" 595 0 0.0372860635696821 0.0448008433099917
"107" 2000-09-01 "Agravo em Execu\xc3\xa7\xc3\xa3o" 1 0 0.0372860635696821 7.5295534974776e-05
"108" 2000-09-01 "Agravo Inominado" 3 0 0.0372860635696821 0.000225886604924328
"109" 2000-09-01 "Agravo Interno" 26 0 0.0372860635696821 0.00195768390934418
"110" 2000-09-01 "Agravo Regimental" 28 0 0.0372860635696821 0.00210827497929373
"111" 2000-09-01 "Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel" 1754 0 0.0372860635696821 0.132068368345757
"112" 2000-09-01 "Apela\xc3\xa7\xc3\xa3o Crime" 163 0 0.0372860635696821 0.0122731722008885
"113" 2000-09-01 "Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio" 182 0 0.0372860635696821 0.0137037873654092
